Method runtime information:
Start timestamp: Tue Jun 20 12:38:33 CEST 2023
End timestamp: Tue Jun 20 12:38:34 CEST 2023
##
Info input dataset:
|input.T|, |input.T.points|
23, 417
##
RT setting infos:
thresholdCellSize, |rt|, CellSize, tauRelevantCell, minPointsRC, tauRepresentativenessValue, |cell|, RepresentativenessMeasure, |cover RT|
40.70858836148239 -73.9910316467285, 06:00 - 06:00, {THURSDAY: 0.36363636363636365; SUNDAY: 0.2727272727272727; TUESDAY: 0.18181818181818182; WEDNESDAY: 0.09090909090909091; FRIDAY: 0.09090909090909091}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.6363636363636364; CLEAR: 0.36363636363636365}, {1858: 80; 1860: 95; 1860: 100; 1861: 118; 1866: 158; 1866: 169; 1868: 199; 1869: 209; 1870: 232; 1867: 380; 1867: 387}, 
40.831785310301605 -73.8668048705059, 06:00 - 06:00, {SUNDAY: 0.3333333333333333; TUESDAY: 0.3333333333333333; FRIDAY: 0.3333333333333333}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLEAR: 0.6666666666666666; CLOUDS: 0.3333333333333333}, {1858: 88; 1861: 113; 1869: 217}, 
40.8330450889308 -73.8608159153442, 06:00 - 06:00, {TUESDAY: 0.3333333333333333; FRIDAY: 0.3333333333333333; SATURDAY: 0.3333333333333333}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.6666666666666666; CLEAR: 0.3333333333333333}, {1861: 114; 1869: 218; 1862: 329}, 
40.676927786133 -73.89869928359991, 07:00 - 08:00, {WEDNESDAY: 0.3333333333333333; MONDAY: 0.3333333333333333; THURSDAY: 0.16666666666666666; FRIDAY: 0.16666666666666666}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLEAR: 0.5; CLOUDS: 0.3333333333333333; RAIN: 0.16666666666666666}, {1836: 8; 1840: 30; 1840: 39; 1840: 41; 1847: 44; 1838: 283}, 
40.83218500976188 -73.86591419445392, 07:00 - 07:00, {THURSDAY: 0.4; SUNDAY: 0.3; WEDNESDAY: 0.1; MONDAY: 0.1; FRIDAY: 0.1}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.7; CLEAR: 0.3}, {1858: 84; 1860: 101; 1861: 119; 1865: 142; 1866: 159; 1866: 170; 1868: 200; 1869: 210; 1863: 368; 1867: 381}, 
40.83304508893081 -73.86081591534422, 07:00 - 07:00, {THURSDAY: 0.3333333333333333; SUNDAY: 0.3333333333333333; TUESDAY: 0.16666666666666666; SATURDAY: 0.16666666666666666}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.5; CLEAR: 0.5}, {1860: 96; 1861: 120; 1868: 191; 1869: 211; 1863: 369; 1867: 388}, 
40.7085883614824 -73.9910316467285, 07:00 - 07:00, {MONDAY: 0.25; SUNDAY: 0.25; TUESDAY: 0.25; SATURDAY: 0.25}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.75; CLEAR: 0.25}, {1860: 90; 1861: 126; 1870: 228; 1867: 385}, 
40.831785310301605 -73.8668048705059, 08:00 - 08:00, {MONDAY: 0.3333333333333333; SUNDAY: 0.3333333333333333; SATURDAY: 0.3333333333333333}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLEAR: 0.6666666666666666; CLOUDS: 0.3333333333333333}, {1861: 127; 1863: 340; 1863: 360}, 
40.8330450889308 -73.8608159153442, 08:00 - 08:00, {MONDAY: 0.25; THURSDAY: 0.25; SUNDAY: 0.25; TUESDAY: 0.25}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 1.0}, {1865: 143; 1866: 160; 1870: 229; 1862: 334}, 
40.758467896282006 -73.9855542371216, 09:00 - 09:00, {MONDAY: 0.3333333333333333; THURSDAY: 0.3333333333333333; WEDNESDAY: 0.16666666666666666; FRIDAY: 0.16666666666666666}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, 8.4, {CLEAR: 0.6666666666666666; CLOUDS: 0.3333333333333333}, {1836: 1; 1836: 9; 1839: 22; 1847: 45; 1847: 56; 1838: 284}, 
40.6362594491798 -73.9947902168192, 13:00 - 13:00, {TUESDAY: 0.5; FRIDAY: 0.5}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 1.0}, {1865: 147; 1865: 155}, 
40.8330450889308 -73.8608159153442, 14:00 - 14:00, {WEDNESDAY: 0.25; MONDAY: 0.25; FRIDAY: 0.25; SATURDAY: 0.25}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.75; CLEAR: 0.25}, {1864: 129; 1872: 246; 1871: 389; 1871: 414}, 
40.832512036593 -73.8651854595023, 14:00 - 14:00, {WEDNESDAY: 0.3333333333333333; THURSDAY: 0.3333333333333333; TUESDAY: 0.3333333333333333}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.6666666666666666; FOG: 0.3333333333333333}, {1872: 245; 1872: 247; 1871: 401}, 
40.67692778613299 -73.89869928359987, 14:00 - 23:00, {TUESDAY: 0.2222222222222222; THURSDAY: 0.18518518518518517; SATURDAY: 0.18518518518518517; FRIDAY: 0.14814814814814814; WEDNESDAY: 0.1111111111111111; MONDAY: 0.07407407407407407; SUNDAY: 0.07407407407407407}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLEAR: 0.7037037037037037; CLOUDS: 0.2962962962962963}, {1836: 7; 1836: 11; 1836: 12; 1839: 18; 1839: 20; 1839: 27; 1839: 28; 1839: 29; 1840: 38; 1847: 49; 1847: 51; 1847: 55; 1847: 58; 1848: 69; 1848: 75; 1837: 258; 1837: 261; 1837: 265; 1837: 272; 1837: 273; 1838: 289; 1838: 292; 1838: 296; 1850: 297; 1850: 299; 1850: 305; 1852: 311}, 
40.7564898726738 -73.9862680435181, 15:00 - 15:00, {MONDAY: 1.0}, {OUTDOORS & RECREATION: 1.0}, {*-999: 1.0}, 9.0, {CLOUDS: 0.5; CLEAR: 0.5}, {1848: 62; 1837: 260}, 
40.83223951423373 -73.86579273862864, 15:00 - 15:00, {MONDAY: 0.25; SUNDAY: 0.25; FRIDAY: 0.25; TUESDAY: 0.25}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLEAR: 0.75; CLOUDS: 0.25}, {1868: 179; 1869: 220; 1872: 256; 1863: 345}, 
40.7564898726738 -73.98626804351808, 16:00 - 16:00, {FRIDAY: 0.4444444444444444; TUESDAY: 0.2222222222222222; WEDNESDAY: 0.1111111111111111; MONDAY: 0.1111111111111111; SATURDAY: 0.1111111111111111}, {OUTDOORS & RECREATION: 1.0}, {*-999: 1.0}, 9.0, {CLEAR: 0.8888888888888888; CLOUDS: 0.1111111111111111}, {1836: 13; 1847: 48; 1847: 52; 1847: 60; 1848: 71; 1837: 262; 1837: 274; 1838: 290; 1850: 298}, 
40.7594841663131 -73.98600878409118, 16:00 - 16:00, {FRIDAY: 0.5; TUESDAY: 0.25; SATURDAY: 0.25}, {FOOD: 1.0}, {*1: 1.0}, 8.3, {CLEAR: 0.75; CLOUDS: 0.25}, {1836: 14; 1848: 72; 1838: 282; 1838: 291}, 
40.75853067482884 -73.98558187812382, 17:00 - 17:00, {WEDNESDAY: 0.375; SATURDAY: 0.25; MONDAY: 0.125; THURSDAY: 0.125; FRIDAY: 0.125}, {TRAVEL & TRANSPORT: 0.75; FOOD: 0.25}, {*-999: 0.75; *1: 0.25}, 8.4, {CLEAR: 0.625; CLOUDS: 0.375}, {1836: 10; 1847: 54; 1848: 64; 1848: 66; 1848: 67; 1848: 73; 1850: 306; 1852: 315}, 
40.6133660420167 -74.0007197856903, 17:00 - 17:00, {FRIDAY: 1.0}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLEAR: 0.6666666666666666; CLOUDS: 0.3333333333333333}, {1866: 164; 1871: 408; 1871: 410}, 
40.7564898726738 -73.9862680435181, 18:00 - 18:00, {MONDAY: 0.3333333333333333; THURSDAY: 0.3333333333333333; TUESDAY: 0.3333333333333333}, {OUTDOORS & RECREATION: 1.0}, {*-999: 1.0}, 9.0, {CLOUDS: 0.6666666666666666; CLEAR: 0.3333333333333333}, {1836: 5; 1840: 36; 1837: 269}, 
40.758747998378105 -73.98567061022447, 18:00 - 18:00, {SATURDAY: 0.5; THURSDAY: 0.16666666666666666; FRIDAY: 0.16666666666666666; TUESDAY: 0.16666666666666666}, {FOOD: 0.5; TRAVEL & TRANSPORT: 0.3333333333333333; SHOP & SERVICE: 0.16666666666666666}, {*-999: 0.5; *1: 0.3333333333333333; *3: 0.16666666666666666}, 8.3, {CLEAR: 0.6666666666666666; CLOUDS: 0.3333333333333333}, {1836: 15; 1848: 74; 1837: 263; 1838: 294; 1850: 300; 1852: 316}, 
40.7085883614824 -73.9910316467285, 18:00 - 18:00, {FRIDAY: 1.0}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLEAR: 1.0}, {1864: 131; 1871: 411}, 
40.7564898726738 -73.9862680435181, 19:00 - 19:00, {THURSDAY: 0.4; WEDNESDAY: 0.2; SUNDAY: 0.2; TUESDAY: 0.2}, {OUTDOORS & RECREATION: 1.0}, {*-999: 1.0}, 9.0, {CLOUDS: 1.0}, {1836: 6; 1847: 57; 1837: 266; 1850: 301; 1850: 307}, 
40.75876751235642 -73.98536496678922, 19:00 - 19:00, {SUNDAY: 0.3333333333333333; THURSDAY: 0.16666666666666666; FRIDAY: 0.16666666666666666; TUESDAY: 0.16666666666666666; SATURDAY: 0.16666666666666666}, {TRAVEL & TRANSPORT: 0.8333333333333334; FOOD: 0.16666666666666666}, {*-999: 0.8333333333333334; *1: 0.16666666666666666}, 8.4, {CLOUDS: 0.6666666666666666; CLEAR: 0.16666666666666666; FOG: 0.16666666666666666}, {1836: 16; 1839: 26; 1840: 37; 1848: 76; 1837: 270; 1850: 308}, 
40.83169446951518 -73.86700729688135, 19:00 - 19:00, {FRIDAY: 0.75; MONDAY: 0.25}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 1.0}, {1858: 85; 1861: 122; 1862: 325; 1871: 391}, 
40.8330450889308 -73.8608159153442, 19:00 - 19:00, {SATURDAY: 0.5; THURSDAY: 0.25; FRIDAY: 0.25}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.5; CLEAR: 0.5}, {1861: 121; 1861: 124; 1872: 254; 1862: 331}, 
40.758397948141 -73.9855056185608, 20:00 - 20:00, {SATURDAY: 0.6666666666666666; SUNDAY: 0.3333333333333333}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, 8.4, {CLOUDS: 0.6666666666666666; CLEAR: 0.3333333333333333}, {1840: 42; 1850: 309; 1852: 318}, 
40.75668555887665 -73.9861239590252, 20:00 - 20:00, {FRIDAY: 0.5; MONDAY: 0.25; THURSDAY: 0.25}, {OUTDOORS & RECREATION: 0.75; SHOP & SERVICE: 0.25}, {*-999: 1.0}, 9.0, {CLOUDS: 0.5; CLEAR: 0.5}, {1847: 50; 1837: 271; 1837: 275; 1850: 303}, 
40.83304508893081 -73.86081591534422, 20:00 - 20:00, {MONDAY: 0.23076923076923078; SUNDAY: 0.15384615384615385; TUESDAY: 0.15384615384615385; FRIDAY: 0.15384615384615385; SATURDAY: 0.15384615384615385; WEDNESDAY: 0.07692307692307693; THURSDAY: 0.07692307692307693}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.5384615384615384; RAIN: 0.23076923076923078; CLEAR: 0.23076923076923078}, {1858: 82; 1860: 91; 1860: 97; 1861: 108; 1864: 137; 1868: 183; 1868: 193; 1870: 224; 1862: 323; 1863: 353; 1863: 361; 1863: 372; 1867: 375}, 
40.83200891839127 -73.8663065901971, 20:00 - 20:00, {MONDAY: 0.23076923076923078; SATURDAY: 0.23076923076923078; WEDNESDAY: 0.15384615384615385; FRIDAY: 0.15384615384615385; THURSDAY: 0.07692307692307693; SUNDAY: 0.07692307692307693; TUESDAY: 0.07692307692307693}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.46153846153846156; CLEAR: 0.38461538461538464; RAIN: 0.07692307692307693; SNOW: 0.07692307692307693}, {1860: 92; 1860: 98; 1861: 115; 1866: 166; 1868: 184; 1868: 194; 1869: 213; 1870: 225; 1862: 320; 1862: 324; 1862: 336; 1863: 354; 1863: 362}, 
40.63625944917981 -73.9947902168192, 21:00 - 22:00, {SATURDAY: 0.36363636363636365; MONDAY: 0.18181818181818182; FRIDAY: 0.18181818181818182; WEDNESDAY: 0.09090909090909091; THURSDAY: 0.09090909090909091; SUNDAY: 0.09090909090909091}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.6363636363636364; RAIN: 0.18181818181818182; CLEAR: 0.18181818181818182}, {1858: 77; 1860: 93; 1866: 167; 1868: 186; 1868: 195; 1869: 206; 1862: 332; 1862: 337; 1863: 357; 1863: 364; 1867: 377}, 
40.7085883614824 -73.9910316467285, 21:00 - 21:00, {THURSDAY: 0.5; FRIDAY: 0.5}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.5; CLEAR: 0.5}, {1864: 135; 1867: 376}, 
40.6133660420167 -74.0007197856903, 21:00 - 22:00, {FRIDAY: 0.6; SUNDAY: 0.2; SATURDAY: 0.2}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.6; RAIN: 0.2; CLEAR: 0.2}, {1864: 138; 1868: 185; 1863: 356; 1863: 363; 1867: 383}, 
